sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A18 F24 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:47:18 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F24 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:26:31 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F36 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:34:50 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A18 F36 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:38:11 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F21 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:45:48 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F21 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:13:22 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F50 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:40:06 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F50 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:22:57 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F91 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:25:07 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A19 F91 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:22:13 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A21 F21 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:42:12 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A21 F21 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:21:06 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A21 F59 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:32:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A21 F59 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:19:44 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A21 F97 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:31:15 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F22 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:18:46 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F22 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:23:09 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F67 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:43:41 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F67 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:15:06 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F107 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:20:20 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A23 F107 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:20:56 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
